TI,DE,ID,AB,PY
Development of a particle swarm optimisation model for estimating the homogeneity of a mixture inside a newly designed CNG-H-2-AIR mixer for a dual fuel engine: An experimental and theoretic study,Homogeneity of the mixture; AIR-CNG-hydrogen mixer; Internal combustion engines; Computational fluid dynamics; Particle swarm optimisation,SPARK-IGNITION ENGINE; HEAVY-DUTY ENGINE; NATURAL-GAS CNG; DIESEL-ENGINE; EMISSION CHARACTERISTICS; REINFORCED-CONCRETE; GASEOUS EMISSIONS; HYDROGEN ADDITION; PORT-INJECTION; COMBUSTION,"Many research works have intended to enhance fuel economy and decrease emissions during conversion from a diesel engine to a dual fuel engine. However, the majority of these works do not take into account enhancement of homogeneity of the mixture inside the engine and precise control of the air fuel ratio. This deficiency can cause higher emissions, greater brake-specific fuel consumption, and likely knocking. Conversely, there is limited research pertaining to empirical equations for projecting the mixture's homogeneity. In this study, a new air-fuel mixer was devised, produced and tested. For the air-gaseous fuel mixer, the proposed design was meant to be appropriate for mixing air with hydrogen and CNG. It was also designed in such a way that it would result into extremely homogeneous mixing for the gaseous fuel as it mixes with air and exhibits high uniformity index (UI). Lastly, it is also meant to promote easy connection with an electronic control unit so that the air-gaseous fuel ratio could be accurately controlled for varying engine speeds. To optimise the homogeneity within the new mixer, fifteen varying mixer models having 116 cases were made in order to study how the location, diameter, and number of holes within the mixer affect the mixture's homogeneity and distribution under ACNGR = 34.15 and AHR = 74.76. Afterwards, the distribution, flow behaviour, and homogeneity of the mixture within the new mixer models were checked using computational fluid dynamics analysis software. Based on the simulation results, it was discovered that the best uniformity index (UI) values were achieved for models 7/ case 48. Based on the simulation results, a fairly simple method was then developed to estimate the mixture's homogeneity (UI) from the new models of the mixer. The basis of the proposal model (empirical equation) is from the best values determined for the unknown constant F so that the equation for UI estimation could be formulated. The particle swarm optimisation (PSO) algorithm was used to solve an optimisation problem and achieve this outcome. The outcomes indicated that the built model could precisely project the UI values.",2018
Experimental testing for Zarzis port sediments (Tunisia) in road materials,geotechnical engineering/ports; docks & harbours/roads & highways,MARINE DREDGED SEDIMENTS; SCALE EXPERIMENT; CLAY; CONSTRUCTION; DURABILITY; CONCRETE; BEHAVIOR; CEMENT; HARBOR; SOIL,"This study focused on the feasibility of Tunisian sediment reuse as new road material. Experiments were conducted to investigate sediment reuse as road material. Three mixtures (raw sediments, stabilised sediments with 3% lime and stabilised sediments with 3% cement) were studied with regard to their mechanical performances. The first part of this paper introduces the characterisation of Zarzis sediments. The second part describes the laboratory experiments and the followed methods. The third part is dedicated to the analysis of results. The originality of this work is the use of a minimum percentage of lime, which was determined experimentally. Based on environmental tests, Zarzis sediments were uncontaminated. Thus, they can be reused directly without a decontamination treatment process. Results show that humic compounds complicated sediment treatment with cement. Therefore, cement did not present an appropriate binder for stabilising and solidifying the investigated sediments. Based on mechanical results, a mixture with 3% lime can be used as new road material.",2018
Application of Simplified Deterioration Diagnosis Method to Existing Fishing Port Facilities,,CONCRETE,"For the efficient maintenance of a large number of fishing port facilities distributed over various locations, establishment of simple deterioration diagnosis method with acceptable precision is needed. In this study, the applicability of the rebound method and the mechanical impedance method to the existing fishing port facilities was examined with laboratory tests focusing on the effect of testing conditions, measurement positions, aggregate contents on compressive strength, and influence of polishing of the test surfaces followed by in-situ surveys. As a result, the mechanical impedance method showed an acceptable precision as compared with the rebound method and was able to easily estimate compressive strength without polishing the test surfaces. It was very likely that the mechanical impedance method could be highly applicable to deterioration diagnosis method for the existing fishing port facilities.",2018
Information function of civil budget,Information; Access to information; Budget; Civil budget; The budget of the electron; The interests of the population,,"Purpose The formation of an information society in Russia requires new approaches in the implementation of citizen's rights to access information. At a modern time, when the resources of internet are available to almost everyone, the modern financial and legal institutions adapt or are obliged to adapt to the modern model of the information society. Not so long ago, just at the beginning of the twenty-first century, new information and legal concept - Civil budget - was introduced. The authors tried to show concrete examples of what it is, what it is, its structure and principles. The authors believe that the realization of the idea of a Civic budget in the Russian Federation will increase the accessibility of information for citizens about the financial performance and financial state and municipalities will allow the State itself, through its Government and the Parliament, to form the budget, based not only on macroeconomic goals and objectives of the country, and objectives of each, even the most small territorial unit in accordance with the needs of living of its citizens. Design/methodology/approach The problem is not new and, in one way or another, exists in all States, but many countries have undertaken very effective reforms and have made improvements in the situation. For example, in Brazil, in the city of Port Alegre, a budget initiative was launched in 1990. Then, it was replicated in 400 prefectures throughout the country. The procedure begins with the assembly of residents of the district, where citizens discuss and outline budget priorities, and ends with the approval of the city budget by delegates directly elected at district assemblies. The success achieved in Porto Alegre was further spread: in 1996-2000, budgeting options were implemented in 100 municipal districts, including SAo Paulo. In 2000-2004, it is estimated to be implemented in another 250 municipalities. Findings The access of the population to budget information is a positive factor not only from the point of view of budgetary law but also in the legal field of information law. Such an opportunity is a direct implementation of principles of the industry such as the principle of publicity and the principle of priority of individual rights. State bodies that form and execute the state budget are, initially, already subjects of the information law, but the above-mentioned activities for monitoring, collecting and providing information within the framework of the Civil budget concept lead them to a new qualitative level of rights and obligations within the framework of information relations, which is unquestionably a positive factor for the activities of these bodies. Originality/value The authors believe that the realization of the idea of a Civic budget in the Russian Federation will increase the accessibility of information for citizens about the financial performance and financial state, and municipalities will allow the State itself, through its Government and the Parliament, to form the budget, based not only on macroeconomic goals and objectives of the country, and objectives of each, even the most small territorial unit in accordance with the needs of living of its citizens.",2018
Galata Port Project in Istanbul: Rehabilitation and Restoration Works of the Terminal for Cruise Ship and Historical Surrounding Area,,,"The paper describes the design principles, adopted technologies, and performance controls related to two main geotechnical engineering solutions provided within the scope of the Galataport project, in Istanbul, Turkey. The first scheme is the one applied to the new quay of Salipazari, which is a combination of retaining structure and ground improvement, formed by a combi-wall, a reinforced concrete diaphragm wall and a soil improvement by deep soil mixing (Turbojet). The second is an innovative solution employed for the deep basement excavation in Karakoy, formed by a combination of seepage control, ground improvement, and load bearing elements, executed with double-fluid jet grouting, pseudo-elliptical jet grouting, and permanent micropiles, respectively. The paper highlights the importance of employing cutting-edge technologies within the foundation engineering field and state-of-the-art electronic control devices, in parallel with the essential human expertise, in order to obtain the desired results in this high profile project.",2018
Main issues of pile foundation at waterfront development and its prevention method,,DREDGED SEDIMENTS; STRENGTH,"Pile foundation is widely used in construction and building marine structures. This is because pile foundation is an important structure and should have long-term durability. However, in waterfront development, a lot of issues from the seawater should be considered distinctively because it consists of many problems that can affect the building structure especially the foundation of the building. Thus, a research should be conducted to identify issues of pile foundation at waterfront development and determine its prevention methods. The research was carried out through interviews with the developers and contractors from the projects of Lexis Hibiscus at Port Dickson, Negeri Sembilan and Redevelopment for Deep-Water Facilities at Quay 6 in Pasir Gudang, Johor, Malaysia. The objectives of this research are to identify issues of pile foundation and to determine the prevention methods of pile foundation issues at waterfront development. All respondents agreed that the main issues of pile foundations at waterfront development are the wave and tide condition. The prevention methods of the issue faced at waterfront development that are most frequently used for the pile foundation are coating system and concrete cover. This research is beneficial to all developers and contractors to ensure pile foundations at waterfront development can be protected by using the prevention methods.",2018
Economic assessment of the alternative energy sources implementation for port enterprises,Sea Port; Maritime Activity; Alternative Energy Sources; Renewable Energy Sources; Wind Power; Solar Power,PV PANELS,"The purpose of this article is to explore specific features of the implementation of alternative energy sources used to ensure activities of Ukrainian port companies. A considerable development of the alternative energy industry in Ukraine is connected to a relatively loyal legislation, state support and tax benefits for companies which employ it. Diversification of energy sources contributes primarily to decreasing risks, however, from the economic point, the choice of concrete sources appears to be more efficient for port companies. Thus, it is suggested to install solar collectors and wind stations to facilitate port activities. According to our calculations, the implementation of the innovative investment project regarding solar panels is justified. The economic effect of installation of solar collectors and wind stations is estimated at UAH 3,107,667.00 (USD 194,230.00) and UAH 1,022,093.00 (USD 63,880.00), respectively. The use of both options is economically feasible in the modern conditions. However, the economic benefit from the wind stations is significantly less. It can be explained by the fact that equipment for wind stations is much more expensive, and its installation and maintenance are more sophisticated and costly. A much bigger quantity of solar panels is needed to provide electricity for the whole port, yet the cost of their installation and maintenance is considerably lower.",2017
SOME CONSIDERATIONS ON BERTH PRODUCTIVITY REFERRED ON DRY BULK CARGOES IN A MULTIPURPOSE SEAPORT,berth; productivity; ship turnaround time,,"Productivity at the berth is one from the group of port productivity measures which is closely tied to ship turnaround times. Gross berth productivity between a ship's arrival and departure from berth is among the broadest definitions of productivity. Net berth productivity is value of productivity related to the operational time at the berth. Based on the recognized facts from available literature about minor share of researches related to the berth productivity in the handling process with dry bulk cargoes in a multipurpose seaport, it was decided to take this port productivity metrics as an object of a research. Concrete results shown in this paper are related to the Dry Bulk Cargo Terminal in the Port of Bar. By the consideration done in this paper is confirmed starting hypothesis about significant differences between gross and net berth productivity (about significant share of nonoperational time in the total berthing time).",2017
Comparison of chloride penetration into surface-treated concrete in artificial and natural environments,chloride diffusion coefficients; chloride ion profiles; in situ components; surface chloride contents; surface treatment,SERVICE LIFE PREDICTION; REINFORCED-CONCRETE; MARINE ENVIRONMENTS; INDUCED CORROSION; DIFFUSION-COEFFICIENT; COATINGS; TEMPERATURE; PERFORMANCE; DURABILITY; EXPOSURE,This study investigated the penetration of chloride into surface-treated high-performance concrete and normal concrete in natural and accelerated environments. Both high-performance concrete and normal concrete were applied in a real port. Concrete specimens that were cast together with the concrete port were transported to the laboratory and subjected to wetting and drying cycles with NaCl solution. The chloride contents of the specimens in the laboratory and the in situ components were tested. The chloride diffusion coefficients and surface chloride contents were calculated based on Fick's second law. The results show that high-performance concrete and surface treatment clearly slow the chloride penetration into the concrete both in the laboratory and in situ. The chloride contents on the surface and in the concrete in the components of the concrete port are higher during the summer than during the winter. The chloride penetration performance in the concrete of real structures cannot be inferred from its performance in specimens under artificial environments in the laboratory.,2017
Land Masking Methods of Sentinel-1 SAR Imagery for Ship Detection Considering Coastline Changes and Noise,Land Masking; Sentinel-1; Ship Detection; Synthetic Aperture Radar,,"Since land pixels often generate false alarms in ship detection using Synthetic Aperture Radar (SAR), land masking is a necessary step which can be processed by a land area map or water database. However, due to the continuous coastline changes caused by new port, bridge, etc., an updated data should be considered to mask either the land or the oceanic part of SAR. Furthermore, coastal concrete facilities make noise signals, mainly caused by side lobe effect. In this paper, we propose two methods. One is a semi-automatic water body data generation method that consists of terrain correction, thresholding, and median filter. Another is a dynamic land masking method based on water database. Based on water database, it uses a breadth-first search algorithm to find and mask noise signals from coastal concrete facilities. We verified our methods using Sentinel-1 SAR data. The result shows that proposed methods remove maximum 84.42% of false alarms.",2017
Effect of Particle Packing and Fly Ash on Performance of Ordinary Portland Cement/Anhydrite-Activated Ground-Granulated Blast-Furnace Slag,aggregates; anhydrite; compressive strength; flow; fly ash; ground-granulated blast-furnace slag; ordinary portland cement; particle packing; pH,CHEMICAL ACTIVATORS; POZZOLANIC REACTION; CEMENT; STRENGTH,"A common practice to produce concrete with a lowered CO2 embodiment is to use high levels of supplemental cementitious materials (SCMs), such as slag and fly ash, in place of port-land cement, which is an economical and low-cost procedure. However, problems with activation arise that lead to low strength development, especially at an early age. This paper is focused on the influence of optimizing particle packing, which would decrease the cement/aggregate ratio while optimizing the space in the cement matrix; and on the effect of different fly ashes on the strength development of ordinary portland cement (OPC)/anhydrite-activated ground-granulated blast-furnace slag (GGBFS) cement. The optimized particle packing demonstrated to have a significant impact on the mechanical properties, both at early and late compressive strengths, compared with the nonpacking compositions. Substitution of fly ash for ultrafine aggregates significantly affected the mechanical properties, as well as the hydrates formed during the hydration process, depending on the fly ash properties.",2017
Mechanical Performance Monitoring for Prestressed Concrete Piles Used in a Newly- Built High-Piled Wharf in a Harbor with Fiber Bragg Grating Sensor Technology When Pile Driving,pile-driving monitoring; high-piled wharf; FBG; strain; prestressed concrete pile,STRAIN SENSOR,"Mechanical performance monitoring of civil infrastructure using fiber Bragg grating (FBG) sensors has received significant public attention in recent years. However, there is currently little research on the mechanical performance monitoring of piles used in high-piled wharfs in coastal ports during pile driving using the FBG sensor technique. Based on the properties of precast prestressed concrete piles used in high-piled wharfs in coastal ports and servicing seawater environments, and the benefits of FBG sensors, the mechanical performance monitoring for precast prestressed concrete piles used in a newly-built high-piled wharf in the Tianjin Port of China is devised and deployed with the FBG sensor technique. To conduct performance monitoring of the precast prestressed concrete pile, a state-of-the-art FBG strain sensor, which is less thermosensitive and does not require temperature compensation, was used to monitor the strain status of different locations of the pile. In one pile, three of this kind of strain sensor were set near the head, middle and tip of the pile, and one FBG angle sensor was set near the head of the pile to measure the dip angle of the pile. During the testing, data were recorded for all of the details of the pile driving process. According to the data analysis, it is clear that the compressive strain at the middle of the pile during driving is larger than that near the head and tip of the pile. Therefore, the middle of the prestressed concrete pile is the key location that should be preferentially monitored during pile driving. Meanwhile, when the hammer impacts the pile continuously, the obvious tension strain at the tip of the pile increases and the maximum dynamic tension strain reaches 56 mu epsilon, which approaches the tension ultimate strain. This occurs because the frictional resistance of soil is small in the middle of the pile when the tip meets the significant supporting soil layer. This study can provide a reference for the mechanical performance monitoring deployment of precast prestressed concrete piles used in high-piled wharf structures in coastal ports.",2017
Quantum simulation of discrete-time Hamiltonians using directionally unbiased linear optical multiports,,SCATTERING-THEORY; WALKS; PHYSICS; GRAPHS,"Recently, a generalization of the standard optical multiport was proposed [Phys. Rev. A 93, 043845 (2016)]. These directionally unbiased multiports allow photons to reverse direction and exit backwards from the input port, providing a realistic linear optical scattering vertex for quantum walks on arbitrary graph structures. Here, it is shown that arrays of these multiports allow the simulation of a range of discrete-time Hamiltonian systems. Examples are described, including a case where both spatial and internal degrees of freedom are simulated. Because input ports also double as output ports, there is substantial savings of resources compared to feed-forward networks carrying out the same functions. The simulation is implemented in a scalable manner using only linear optics, and can be generalized to higher dimensional systems in a straightforward fashion, thus offering a concrete experimentally achievable implementation of graphical models of discrete-time quantum systems.",2017
IMPLEMENTATION OF SPATIAL INFORMATION FOR MONITORING AND ANALYSIS OF THE AREA AROUND THE PORT USING LASER SCANNING TECHNIQUES,spatial information; monitoring of the area around the port; terrestrial and airborne laser scanning,PHOTOGRAMMETRY; INTEGRATION; CONCRETE,"Nowadays, maritime infrastructure is heavily exploited, which requires monitoring. The article presents the implementation of spatial information which are point clouds for monitoring and analysis of the area around the port (buildings and wharves). For this study, point clouds coming from terrestrial (TLS) and airborne laser scanning (ALS), each of them having different accuracy, were used. An important part of the analysis was the integration of the two data sources. Through integration, the acquisition of information on areas not covered by the measurement in the presented case, one of the methods was possible for use (e.g. the roofs in case of TLS, or the lack of some of the walls of buildings in case of ALS). Another aspect was to use this data. Measurement of the shape and geometry of objects was executed. Additionally, the planeness analysis of individual elements of port infrastructure has been carried out. An interesting analysis was to determine the water level, based on relation to specific characteristics of the light reflectance.",2017
"Experimental and nonlinear numerical analysis of underwater housings for the deep sea, made of ultra-high performance concrete",ANSYS; concrete pressure housing; hollow cylinder; hydrostatic loading; multiaxial pressure; multiPlas; nonlinear analysis; shell; UHPC,,"The paper describes the design and analysis of underwater housings made of ultra-high performance concrete (UHPC) within the Helmholtz Alliance ""ROBEX"" to provide cost-efficient alternatives to expensive titanium housings. The research is related to former investigations on spherical and cylindrical shells under hydrostatic pressure made of normal strength concrete, performed from 1960 to 1980 at the Civil Engineering Laboratory, Port Hueneme, California. Several housings made of UHPC have been manufactured and the short-term implosion resistance has been determined experimentally. Since neither the mechanical equations for thin-or thick-walled shells nor the empirical equations for implosion pressure of shells made of normal strength concrete by Albertsen can describe the behavior sufficiently, two nonlinear material laws for concrete, multiPlas Law 9 (modified Willam-Warnke model) and Law 14 (Menetrey-Willam model) by Dynardo for ANSYS, have been calibrated with results from uni-and biaxial strength tests, and the results of nonlinear finite element model with ANSYS 16 have been compared. To study the long-term behavior, an in situ test is currently being performed at 2,500-m depth in the Arctic Sea.",2017
