TI,DE,ID,AB,PY
Assessment of Rheological and Piezoresistive Properties of Graphene based Cement Composites,rheological properties; yield stress; graphene nanoplatelets; rheological models; self-sensing; piezoresistive properties,MECHANICAL-PROPERTIES; YIELD-STRESS; PASTE; OXIDE; CONCRETE; BEHAVIOR; STRENGTH; MODELS; THIXOTROPY; MORTARS,"The concrete production processes including materials mixing, pumping, transportation, injection, pouring, moulding and compaction, are dependent on the rheological properties. Hence, in this research, the rheological properties of fresh cement paste with different content of graphene (0.03, 0.05 and 0.10% by weight of cement) were investigated. The parameters considered were test geometries (concentric cylinders and parallel plates), shear rate range (300-0.6, 200-0.6 and 100-0.6 s(-1)), resting time (0, 30 and 60 min) and superplasticizer dosage (0 and 0.1% by weight of cement). Four rheological prediction models such as Modified Bingham, Herschel-Bulkley, Bingham model and Casson model were chosen for the estimation of the yield stress, plastic viscosity and trend of the flow curves. The effectiveness of these rheological models in predicting the flow properties of cement paste was verified by considering the standard error method. Test results showed that the yield stress and the plastic viscosity increased with the increase in graphene content and resting time while the yield stress and the plastic viscosity decreased with the increase in the dosage of superplasticizer. At higher shear rate range, the yield stress increased while the plastic viscosities decreased. The Herschel-Bulkley model with the lowest average standard error and standard deviation value was found to best fit the experimental data, whereas, Casson model was found to be the most unfitted model. Graphene reduces the flow diameter and electrical resistivity up to 9.3 and 67.8% and enhances load carrying capacity and strain up to 16.7 and 70.1% of the composite specimen as compared with plain cement specimen. Moreover, it opened a new dimension for graphene-cement composite as smart sensing building construction material.",2018
Assessment of bamboo leaf ash/lime-stabilized lateritic soils as construction materials,Bamboo leaf ash; Lateritic soils; Lime; Compressive strength; Water absorption; California bearing ratio,PERFORMANCE; CEMENT; ASH,"This paper evaluates the suitability of stabilized lateritic soils as highway and building (bricks) construction materials and the influence of locally available, cheap and environmental friendly stabilizer on the mechanical strength. The laboratory study employed four lateritic soil samples stabilized with varying amount of bamboo leaf ash (BLA) ranging from 2-8%. BLA was later kept constant at 5% and further added with lime (LSL) ranging between 2.5-10%. This resulted in four different LATERITE-BLA-LSL mix which are mix-1 (20:1:0.5), mix-2 (20:1:1), mix-3 (20:1:1.5) and mix-4 (20:1:2), respectively. The engineering properties of the specimens were evaluated through unconfined compression strength (UCS), California Bearing Ratio (CBR), compressive strength and water absorption. The UCS for the stabilized soils increased as BLA increased from 2 to 6% and the mix increased from mix-1 to mix-4, with maximum UCS observed between 5-6% BLA and mix-3 (7.5% LSL). The soaked and unsoaked CBR values, which ranged between 10-44 and 27-76%, respectively, satisfied the minimum requirement for most building standards for subgrade and sub-base of 10 and 30%, respectively. Results of BLA + LSL bricks indicated that compressive strength increased, while water absorption decreased with increase in the firing temperature and percentage of stabilization, which met the American Standard for Testing Materials (ASTM) standard specification for concrete building bricks. This study has shown the combined optimum improvement of soils and its suitability as subgrade, sub-base and building bricks construction materials.",2018
Effect of Preliminary Selection of RC Shear Walls' Ductility Level on Material Quantities,conceptual design phase; reinforced concrete; shear walls; ductility; dynamic analysis; material quantities,MOMENT-RESISTING FRAMES; NATIONAL-BUILDING-CODE; SEISMIC PERFORMANCE; PROVISIONS; COLUMNS; CANADA; DESIGN; A23.3,"According to the National Building Code of Canada, the seismic force resisting systems (SFRS) of reinforced concrete (RC) buildings are classified based on their ductility level as being ductile, moderately ductile and conventional construction systems. The selection of the ductility level of an SFRS at the conceptual design phase is primarily governed by the seismicity at the building location, the building dynamic characteristics, and the height limitations specified by the design code. The selected ductility level affects the design loads, the cross-sections and reinforcement of the SFRS components, and hence the overall construction cost. This paper aims to evaluate the effect of the wall's selected ductility level on the quantities of its constituent materials as well as the rebar detailing. Four multi-storey RC shear wall buildings with different heights located in three different cities in Canada; Toronto, Montreal, and Vancouver, were selected to represent three different seismic hazard zones (low, medium, and high). For each building height and location, the walls were designed using the dynamic analysis procedure of the National Building Code of Canada to reach different ductility levels. The construction material quantity estimates were evaluated and compared to a reference case for each building height, seismic hazard and ductility level. The effect of ductility level on the bars detailing is also investigated. This paper helps the structural engineers to select the cost-effective and constructible RC shear wall system at the conceptual design phase before reaching the detailed design phase.",2018
Microstructure Characteristics of Fly Ash Concrete with Rice Husk Ash and Lime Stone Powder,portland pozzolana cement; fly ash; rice husk ash; limestone powder; microstructure,BLENDED CEMENT; HYDRATION; STRENGTH; MORTAR; PERFORMANCE; DURABILITY; POROSITY; PASTE,"Industrial wastes and recycled materials are being utilized in the construction industry for preserving the environment, saving of materials, and enhancing durability of the construction material. Blending of cement with supplementary cementitious materials like fly ash, rice husk ash, and silica fume makes concrete more durable. The main objective of this study is to make use of the rice husk ash and lime powder (LP) as a replacement of Portland pozzolana cement considering various replacement levels. The engineering and durability performance in concrete with LP were performed through compressive strength and void measurement. The microstructure in the concrete with LP was characterized through XRD, SEM/EDS, and TG/DTA. Optimum replacement ratio for rice husk ash and LP were obtained through pozzolanic reaction based CSH formation.",2018
Enhancing the engineering properties and microstructure of room temperature cured alkali activated natural pozzolan based concrete utilizing nanosilica,Natural pozzolan (NP); Alkali activated concrete (AAC); Alkali activated paste (AAP); Nano silica; Compressive strength; Morphology; Mineralogical composition; Constitutive models,ASH-BASED GEOPOLYMER; BLAST-FURNACE SLAG; CALCIUM SILICATE HYDRATE; OIL FUEL ASH; FLY-ASH; AMBIENT-TEMPERATURE; PORTLAND-CEMENT; MECHANICAL-PROPERTIES; STRENGTH; BINDER,"The strength gain of alkali-activated binders (AAB) when cured at room temperature is delayed due to the slow polymerization process. This is the major impediment in the utilization of this green concrete in cast in-situ concrete structures. In order to expand the applications of these binders to various fields of construction, attempts have to be intensified to overcome this obstacle. Incorporation of finer materials with high specific surface area to enhance the reactivity of alkali activated concrete (AAC) is one of the potential approaches to accelerate their strength gain. In this regard, nanomaterials, such as nanosilica (NS), can play a key role. Therefore, to enable curing at room temperature, incorporation of NS as partial replacement of natural pozzolan (NP) in developing MC is the focus of this research work. MC mixes were prepared by partially replacing NP with NS up to 7.5% by weight. The compressive strength development was monitored until 180 days of room temperature curing (23 +/- 2 degrees C). Flexural strength and modulus of elasticity of concrete were also measured. Constitutive models relating the engineering properties of the developed MC were formulated using regression analysis. In addition, SEM and XRD techniques were used to assess the nature of the binder formed during alkali activation. The data developed in the reported study indicated that NP, without incorporating NS, can be used as precursor material for producing MC that could be potentially used as a construction material. However, AAC mixtures incorporating NS exhibited remarkable enhancement in the mechanical properties and microstructural characteristics. The addition of, 5% and 7.5% NS resulted in superior mechanical properties and a denser microstructure due to the greater transformation of precursor material in to polymeric compounds. The tangible outcomes of this research highlights the importance of nanomaterials in improving the properties of green building materials. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Empirical models to predict rheological properties of fiber reinforced cementitious composites for 3D printing,Rheological properties; 3D cementitious materials printing; Thixotropy; Statistical design,PERFORMANCE; GEOPOLYMER; CONCRETE; DESIGN; THIXOTROPY; EMISSIONS; STRENGTH,"3D printable construction materials need to be conveyed through a delivery system whilst possess certain flow resistance to ensure materials can sustain the weight of subsequent layers. To meet these requirements, material rheological properties should be optimized. In this study, factorial design was adopted to evaluate the influences of five variables (water-to-binder ratio, sand-to-binder ratio, fly ash-to-cement ratio, silica fume-to-cement ratio, and dosage of fiber) on material theological properties (flow resistance, torque viscosity and thixotropy). Empirical models were established to predict theological properties and were verified by experiment. Results imply that the increment of the dosage of fiber boosts all the rheological parameters, which are declined with the increment of water-to-binder ratio. Torque viscosity raises while flow resistance and thixotropy are decreased with the rise of fly ash-to cement ratio. Conversely, the influence of silica fume-to-cement ratio shows an opposite trend on rheological properties as compared to that of fly ash-to-cement ratio. Flow resistance and torque viscosity are improved whilst thixotropy is declined if sand-to-binder ratio increases. Different formulations were adopted in printing test for verification and demonstration purpose via a robotic arm printing system in the end. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Properties of cement-based composites using nanoparticles: A comprehensive review,Nanoparticles; Graphene oxide; Nano-clay; Nano-fly ash; Nano-SiO2; Nano-Al2O3; Nano-Fe2O3; Nano-TiO2; Carbon nanotube; Zeolites; Cementitious materials,CONCRETE INCORPORATING NANO-SIO2; HIGH STRENGTH CONCRETE; DIFFERENT CURING MEDIA; MECHANICAL-PROPERTIES; CARBON NANOTUBES; FLY-ASH; DURABILITY PROPERTIES; COMPRESSIVE STRENGTH; TIO2 NANOPARTICLES; THERMAL-PROPERTIES,"This review paper intends to synthesise the data published in the literature on the uses of different types of nanomaterials in cementitious materials. According to ASTM, depending on types, the size of nanoparticles varies from 1 nm to 100 nm. Application of nanomaterials in different sectors has shown that the properties of conventional materials can be significantly improved when nanoparticles are included. The addition of nanoparticles in cementitious materials can act as a filler agent, producing a dense matrix and reduce the growth of micro pores. Some nanoparticles also help in the secondary reactions forming cement composite and contribute to the strength development. Moreover, this paper summarises the current knowledge of the microstructure, mechanical strength and durability of cementitious materials when incorporating different types of nanoparticles. In addition, research needs are identified based on the gaps in the current state of knowledge on using nanoparticles in cement-based construction materials. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Properties and structural behavior of concrete containing fine sand contaminated with light crude oil,Concrete; Oil contamination; Mechanical properties; Bond strength; Bending,GEOTECHNICAL PROPERTIES; MECHANICAL-PROPERTIES; COMPRESSIVE STRENGTH; CEMENT MORTAR; ENGINE OIL; REMEDIATION; BARS; SOIL,"Mixing crude oil contaminated sand with cement and using this mix as an alternative construction material is considered an innovative and cost-effective approach to reduce its negative environmental impact. In this study, the compressive and splitting tensile strength of concrete with different levels of light crude oil contamination (0, 1, 2, 6, 10 and 20%) were evaluated. Microstructure observation was also conducted to better understand how the oil contamination is affecting the concrete properties. The bond strength of steel reinforcement and a comparative evaluation of the flexural behaviour of steel reinforced beams using concrete with 0% and 6% oil contamination was carried out. Results showed that concrete with light crude oil contamination can retain most of its compressive and splitting tensile strength at a contamination level of up to 6%. A good bond between the steel reinforcement and concrete can be achieved up to this level of oil contamination. The concrete beam with 6% oil contamination exhibited only a 20% reduction in the moment capacity compared to a beam using uncontaminated concrete. Simplified empirical equations were also proposed to reliably predict the mechanical properties of concrete containing oil contaminated sand. (C) 2018 Elsevier Ltd. All rights reserved.",2018
"Evaluation of alkali-activated blast furnace ferronickel slag as a cementitious material: Reaction mechanism, engineering properties and leaching behaviors",Alkali-activation; Blast furnace ferronickel slag; Reaction products; Autogenous shrinkage; Heavy metals leaching,HIGH-STRENGTH CONCRETE; MAGNESIUM NICKEL SLAG; AGE REACTION-KINETICS; C-S-H; FLY-ASH; SODIUM-CARBONATE; MICROSTRUCTURAL DEVELOPMENT; AUTOGENOUS SHRINKAGE; PHOSPHORUS SLAG; FINE AGGREGATE,"Blast furnace ferronickel slag (BFFS) is a kind of heavy metal-bearing slag with moderate calcium content that is obtained from the production of ferronickel in a blast furnace. The reaction mechanism, engineering properties, and leaching behaviors of alkali-activated BFFS materials were investigated. The results show that the main crystalline phase of the reaction products is stratlingite, and the gel phase is a kind of C-A-S-H with Ca/Si and Al/Si ratios of 0.64-1.65 and 0.57-1.44, respectively. The reaction of BFFS greatly depends on the alkalinity and silicon modulus, with a high alkalinity and low silicon modulus resulting in a rapid initial exothermic rate, a high reaction degree, and a denser pore structure in the alkali-activated BFFS materials. In addition, the compressive strength of the alkali-activated BFFS mortar is comparable to that of the alkali-activated blast furnace slag (BE); furthermore, the alkali-activated BFFS shows more continuous strength gains from 7 days to 90 days and much lower 7-day autogenous shrinkage. More importantly, the alkali-activation treatment can significantly decrease the leaching amount of Mn, Cr(VI) and Cr(III), and it converts the hazardous BFFS to non-toxic construction materials. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Life cycle carbon dioxide emissions for fill dams,Life cycle assessment; Infrastructure; Fill dam; Survival function; Carbon dioxide emissions,CO2 EMISSIONS; CONSTRUCTION; CONCRETE; ENERGY; COST,"The construction industry including infrastructure construction, affects the environment due to the use of a considerable amount of resources and energy. The management of the environmental effect of dams for agricultural reservoirs is especially important in South Korea because of their large scale and nationwide distribution. The objective of this study is to propose an assessment method for evaluating life cycle carbon dioxide emissions associated with fill dams and to characterize carbon dioxide emissions to use in effectively addressing the environmental concerns for infrastructures. A total of four dams were selected for the research, and the material production, use of equipment and transportation were considered as the causes of carbon dioxide emissions at the dams. The effective life cycle of a fill dam was assumed to be 100 years. The results of the research indicated that the total amount of carbon dioxide emissions were different for each dam according to their characteristics, and the results showed that the dam size is the primary cause. In addition, the carbon dioxide emissions increased as the period of use increased, and a rapid increase was indicated in 40-50 years interval of the dams' use periods because the repair activities were concentrated in those years. Materials were the biggest contributor in the amount of total carbon dioxide emissions at all four sites and the ratio of carbon dioxide emissions caused by materials was higher than any other factors in most processes. There was little difference in the proportion of carbon dioxide emissions for each process in the total carbon dioxide emissions for the four sites. Most carbon dioxide was emitted during repair activities at the two largest dams. Activities associated with the construction process was the major source of carbon dioxide emissions at the two other dams. This difference in process carbon dioxide emissions was the result of the difference in the construction scale for the embankment elevation. The assessment method that has been proposed in this study reflects the characteristics of fill dams, and the result of estimating carbon dioxide emissions indicates that we are able to reduce carbon dioxide emissions in the life cycle of fill dams by selecting the construction materials and the repair methods with a low carbon dioxide emissions. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Performance of Cement Mortars under Tannery Wastewater,cement mortars; tannery wastewater; microstructure; degradation; strength,,"This research studied the performance of Ordinary Portland Cement (OPC) and Portland Composite Cement (PCC) composites when exposed to tannery wastewater (TWW), which is generated in large quantities in different tannery industries in Bangladesh. With increasing prospects for tanning industries in the country, selection of suitable construction material will enable sustainable development in this sector. TWW consists of several chemicals that have detrimental effects on concrete. Performances of OPC and PCC were measured in terms of strength, expansion, and weight loss. Microstructures of the test specimens were also studied through Scanning Electron Microscopy (SEM), X-ray Powder Diffraction (XRD), and Energy-dispersive Spectroscopy (EDS) analysis. Results revealed that PCC test specimens performed better compared to those of OPC in terms of strength and degradation when exposed to TWW. The inferences made from this study will be helpful for selection of suitable cement type in future structures exposed to similar severe conditions.",2018
Application of microbially induced calcium carbonate precipitation in designing bio self-healing concrete,Biomineralization; Calcium carbonate; Bacteria; Morphology; Concrete; MICP,SULFATE-REDUCING BACTERIA; CEMENT MORTAR; SPOROSARCINA-PASTEURII; CRYSTAL-FORMATION; LIQUID-MEDIA; BIOMINERALIZATION; PERMEABILITY; WATER; MINERALIZATION; NANO-SIO2,"Concrete is one of the most broadly used construction materials in the world due to its number of performance characteristics. Despite the long life of concrete structure under ideal conditions, it tends to crack and this phenomenon results in a considerable reduction in service life and performance. Evidence of microbial involvement in the precipitation of minerals has led to a massive investigation on adapting this technology for addressing the concrete cracking issue. Calcium carbonate is one of most compatible materials with the concrete constituents and it can be induced via biological process. In this review paper, the effects of different factors, such as nucleation site, pH, nutrient and temperature, on the biosynthesis of calcium carbonate are elucidated. Moreover, the influences of effective factors on calcium carbonate polymorphism are extensively elaborated. Finally, the limitations for the future application of this innovative technology in construction industry are highlighted. [GRAPHICS] .",2018
Technological assessment of tailings from quartzite mining sites in Alpinopolis (Minas Gerais-Brazil) as aggregates in concrete block paving (CBP),Geotechnical properties of the rocks; Construction material; Sustainability; Block paving,WASTE,"The quartzite minings of AlpinopolisMinas GeraisBrazil represent an important share of the regional economy; however, the difficulties of the miners in meeting the environmental requirements have led to the closing of the activities in many places, which reflects both a social problem, increasing unemployment, and an environmental problem due to the large environmental liabilities caused by the piles of tailings resulting from the activity. This article discusses the search for alternatives for this problem and trusts in the reuse of these tailings as aggregates for the civil construction as a way to promoting socio-environmental sustainability in the region. The objective of the research was to evaluate the feasibility of using the tailings thrown in the mining tailing piles as fine and coarse aggregate for the production of concrete block paving as an alternative to the use of conventional aggregates. The steps of the research were: choosing and preparing the study materials; technological characterization of aggregates; aggregate dosing study; producing and testing of concrete parts; and economic feasibility study. Parts made with different fine and coarse aggregate dosages of quartzite tailing presented satisfactory results for different applications; however, the parts which were replaced only with the coarse aggregate were those that achieved the best resistance values. In the economic feasibility study, it was estimated that a cost reduction of around 23% would result from the implementation of paving when only the conventional coarse aggregate is replaced by the tailing quartzite and a 37% reduction when both the coarse and the fine aggregate were replaced.",2018
